,Anno,Tipo Laurea,Settore,F,M,Totale Laureati,%Donne,%Uomini
0,2021,Laurea,"Engineering, manufacturing and construction",9120,22826,31946,28.548175045389097,71.45182495461091
1,2021,Laurea,Information and Communication Technologies (ICTs),481,3004,3485,13.802008608321378,86.19799139167861
2,2021,Laurea Magistrale,"Engineering, manufacturing and construction",8561,19141,27702,30.903905855172916,69.09609414482709
3,2021,Laurea Magistrale,Information and Communication Technologies (ICTs),293,1264,1557,18.81824020552344,81.18175979447656
4,2021,Laurea Magistrale Ciclo Unico,"Engineering, manufacturing and construction",1617,1041,2658,60.8352144469526,39.1647855530474
5,2021,Vecchio Ordinamento,"Engineering, manufacturing and construction",12,60,72,16.666666666666664,83.33333333333334
6,2021,Vecchio Ordinamento,Information and Communication Technologies (ICTs),1,0,1,100.0,0.0
7,2022,Laurea,"Engineering, manufacturing and construction",8731,22250,30981,28.18178883832026,71.81821116167974
8,2022,Laurea,Information and Communication Technologies (ICTs),491,2897,3388,14.492325855962221,85.50767414403778
9,2022,Laurea Magistrale,"Engineering, manufacturing and construction",8522,18536,27058,31.495306378889794,68.5046936211102
10,2022,Laurea Magistrale,Information and Communication Technologies (ICTs),374,1385,1759,21.262080727686186,78.73791927231382
11,2022,Laurea Magistrale Ciclo Unico,"Engineering, manufacturing and construction",1296,869,2165,59.86143187066975,40.13856812933025
12,2022,Vecchio Ordinamento,"Engineering, manufacturing and construction",11,44,55,20.0,80.0
13,2022,Vecchio Ordinamento,Information and Communication Technologies (ICTs),0,3,3,0.0,100.0
14,2023,Laurea,"Engineering, manufacturing and construction",9137,23316,32453,28.154561981943115,71.84543801805688
15,2023,Laurea,Information and Communication Technologies (ICTs),539,3275,3814,14.132144729942317,85.86785527005767
16,2023,Laurea Magistrale,"Engineering, manufacturing and construction",9061,19370,28431,31.870141746684954,68.12985825331505
17,2023,Laurea Magistrale,Information and Communication Technologies (ICTs),494,1667,2161,22.85978713558538,77.14021286441462
18,2023,Laurea Magistrale Ciclo Unico,"Engineering, manufacturing and construction",1160,812,1972,58.82352941176471,41.17647058823529
19,2023,Vecchio Ordinamento,"Engineering, manufacturing and construction",16,29,45,35.55555555555556,64.44444444444444
20,2023,Vecchio Ordinamento,Information and Communication Technologies (ICTs),1,2,3,33.33333333333333,66.66666666666666
